Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Armagh Township Police Dept,8,7,0.875,87.5,Mifflin,2015 Q1
Granville Township Police Dept,31,30,0.967741935483871,96.7741935483871,Mifflin,2015 Q1
Huntingdon County District Attorney,1,1,1,100,Mifflin,2015 Q1
Lewistown Police Department,51,49,0.9607843137254902,96.07843137254902,Mifflin,2015 Q1
Mifflin County District Attorney,11,10,0.9090909090909091,90.9090909090909,Mifflin,2015 Q1
Mifflin County Regl Police Dept,34,32,0.9411764705882353,94.11764705882352,Mifflin,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
